name,campaignId,startDate,endDate,cpcBid,cpaBid,caps_budget_cap,caps_budget_value,caps_budget_pacing,caps_budget_thresholdP,caps_budget_locked,caps_clicks_cap,caps_clicks_value,caps_clicks_pacing,caps_clicks_thresholdP,caps_clicks_locked,caps_applies_cap,caps_applies_value,caps_applies_pacing,caps_applies_thresholdP,caps_applies_locked,filters_operator,filters_operator_rules_field_1_1,filters_operator_rules_operator_1_1,filters_operator_rules_data_1_1,showDownload,filters_operator_rules_field_1_2,filters_operator_rules_operator_1_2,filters_operator_rules_data_1_2,showDownload,placements_3_value,placements_3_bid,placements_3_caps_budget_cap,placements_3_caps_budget_value,placements_3_caps_budget_pacing,placements_4_value,placements_4_bid,placements_4_caps_budget_cap,placements_4_caps_budget_value,placements_4_caps_budget_pacing,placements_5_value,placements_5_bid,placements_5_caps_budget_cap,placements_5_caps_budget_value,placements_5_caps_budget_pacing,placements_6_value,placements_6_bid,placements_6_caps_budget_cap,placements_6_caps_budget_value,placements_6_caps_budget_pacing,placements_7_value,placements_7_bid,placements_7_caps_budget_cap,placements_7_caps_budget_value,placements_7_caps_budget_pacing,placements_8_value,placements_8_bid,placements_8_caps_budget_cap,placements_8_caps_budget_value,placements_8_caps_budget_pacing,placements_9_value,placements_9_bid,placements_9_caps_budget_cap,placements_9_caps_budget_value,placements_9_caps_budget_pacing,placements_10_value,placements_10_bid,placements_10_caps_budget_cap,placements_10_caps_budget_value,placements_10_caps_budget_pacing,placements_11_value,placements_11_bid,placements_11_caps_budget_cap,placements_11_caps_budget_value,placements_11_caps_budget_pacing
CA-BellevilleON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,415,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,0.46,,,,Adzuna_CPC,0.36,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-CalgaryAB,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,192,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.58,,,,Adzuna_CPC,0.39,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-EdmontonAB,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,339,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.54,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-FortMcMurrayAB,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,1141,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.40,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-GatineauQC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,7500,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,1473,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,2.74,,,,Adzuna_CPC,0.41,,,,DirectlyApply_CPA,20.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,20.00,,,,ReticularMedia,0.30,,,
CA-GreaterSudburyON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,401,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.40,,,,Adzuna_CPC,0.51,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-HalifaxNS,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,336,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.40,,,,Adzuna_CPC,0.42,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-HamiltonON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,337,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.35,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-KamloopsBC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,412,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,0.40,,,,Adzuna_CPC,0.42,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-KelownaBC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,399,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,1.32,,,,Adzuna_CPC,0.96,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-KingstonON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,402,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.59,,,,Adzuna_CPC,0.72,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-KitchenerWaterlooON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,341,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.34,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-LethbridgeAB,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,410,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.39,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-LondonON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,338,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.52,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-MonctonNB,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,406,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,0.70,,,,Adzuna_CPC,1.00,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-MontrealQC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,20000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,140,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,2.83,,,,Adzuna_CPC,0.37,,,,DirectlyApply_CPA,45.00,,,,Jobble_CPA_USD,20.00,,,,MyJobHelper_CPA_Indv_feeds,20.00,,,,ReticularMedia,0.30,,,
CA-NanaimoBC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,414,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,0.46,,,,Adzuna_CPC,0.50,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-NiagaraRegionON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,393,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.35,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-OttawaON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,335,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,2.83,,,,Adzuna_CPC,0.38,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-PeterboroughON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,408,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,2.83,,,,Adzuna_CPC,0.38,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-PrinceGeorgeBC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,421,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,1.40,,,,Adzuna_CPC,1.00,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-QuebecCityQC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,7500,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,391,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.46,,,,Adzuna_CPC,0.35,,,,DirectlyApply_CPA,20.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,20.00,,,,ReticularMedia,0.30,,,
CA-RedDeerAB,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,418,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.54,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-ReginaSK,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,427,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.56,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-SaguenayQC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,403,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,0.70,,,,Adzuna_CPC,0.35,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-SaskatoonSK,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,426,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.43,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-SaultSteMarieON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,422,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.40,,,,Adzuna_CPC,0.35,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-SherbrookeQC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,7500,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,397,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,1.02,,,,Adzuna_CPC,0.61,,,,DirectlyApply_CPA,20.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,20.00,,,,ReticularMedia,0.30,,,
CA-StJohnsNL,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,1913,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,20,,,,ZipRecruiter_Indv_feed,0.81,,,,Adzuna_CPC,0.85,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-ThunderBayON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,409,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.40,,,,Adzuna_CPC,0.35,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-TorontoON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,20000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,13,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,2.83,,,,Adzuna_CPC,0.37,,,,DirectlyApply_CPA,45.00,,,,Jobble_CPA_USD,20.00,,,,MyJobHelper_CPA_Indv_feeds,20.00,,,,ReticularMedia,0.30,,,
CA-TroisRivieresQC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,7500,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,404,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,3.02,,,,Adzuna_CPC,0.70,,,,DirectlyApply_CPA,20.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,20.00,,,,ReticularMedia,0.30,,,
CA-VancouverBC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,20000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,19,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,7.77,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.33,,,,Adzuna_CPC,0.98,,,,DirectlyApply_CPA,45.00,,,,Jobble_CPA_USD,20.00,,,,MyJobHelper_CPA_Indv_feeds,20.00,,,,ReticularMedia,0.30,,,
CA-VictoriaBC,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,395,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.40,,,,Adzuna_CPC,0.60,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-WindsorON,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,396,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,1.45,,,,Adzuna_CPC,0.35,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,
CA-WinnipegMB,75a7e152-6fca-474b-996b-2baeb2b61a0d,8/5/2021,12/31/2025,2.50,,Weekly,1000,FALSE,98,FALSE,,,FALSE,,FALSE,,,FALSE,,FALSE,All,countryid,equal,32,FALSE,cityid,equal,390,FALSE,Snagajob_premium,3.50,,,FALSE,Talroo_CPC_USD,10,,,,Snagajob_-_CPC,,,,,ZipRecruiter_Indv_feed,0.35,,,,Adzuna_CPC,0.34,,,,DirectlyApply_CPA,10.00,,,,Jobble_CPA_USD,15.00,,,,MyJobHelper_CPA_Indv_feeds,15.00,,,,ReticularMedia,0.30,,,